名前	濃淡度	うま味	フルーティ	乳製品	穀物	メイラード	スパイス	木様	炭酸
ほのかな香りのあるお酒	2	2	4	1	1	1	1	1	1
濃醇なお酒	5	5	1	1	1	3	2	2	1
軽くてフレッシュなお酒	2	2	2	1	1	1	1	1	3
やや淡麗なお酒	3	3	1	1	1	1	1	1	1
淡麗で軽快なお酒	1	1	1	1	1	1	1	1	1
木香のあるお酒	3	3	1	1	2	3	2	5	1
華やかな香りのお酒	2	2	5	2	1	1	1	1	2
熟成されたお酒	5	4	1	1	2	5	4	3	1
生酛系のお酒	3	3	1	5	2	2	1	3	1
スパークリング日本酒	2	1	3	1	1	1	1	2	5
貴醸酒	5	3	5	2	1	3	1	2	1
濃いめのお酒	4	3	2	2	3	2	2	3	1
生酒	4	4	2	2	3	1	1	2	3
