name	notando
醤油	0.2
塩	0
コショウ	0.2
ウスターソース	0.4
マヨネーズ	0.2
ケチャップ	0.2
タルタルソース	0.4
唐辛子	0.2
ポン酢	0
マスタード	0.4
味噌	0.4
